file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/api/resource/PositionResource.java,org.traccar.api.resource.PositionResource,class,21,21,0,21,13,2,0,18,10,0.8,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,2,77,8,1,2,3,0,31,1,6,0,12,2,0,0,3,38,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/HuaShengProtocol.java,org.traccar.protocol.HuaShengProtocol,class,4,4,0,4,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/Ardi01ProtocolDecoder.java,org.traccar.protocol.Ardi01ProtocolDecoder,class,8,9,1,8,5,2,0,20,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,31,3,0,1,0,0,12,9,5,1,5,1,0,0,0,34,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/Avl301ProtocolDecoder.java,org.traccar.protocol.Avl301ProtocolDecoder,class,12,13,1,12,17,2,0,30,4,0.5,0.0,0.0,4,0,1,2,1,0,2,0,0,0,3,3,3,0,0,0,3,0,1,83,4,1,12,0,7,2,24,21,3,18,2,0,0,0,71,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/StbProtocol.java,org.traccar.protocol.StbProtocol,class,4,4,0,4,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/TrvProtocol.java,org.traccar.protocol.TrvProtocol$Anonymous1,anonymous,6,6,0,6,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,-1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/Vt200ProtocolDecoder.java,org.traccar.protocol.Vt200ProtocolDecoder,class,9,10,1,9,16,2,0,31,6,0.0,0.0,0.0,4,1,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,3,90,6,1,9,0,0,21,31,10,11,10,3,0,0,0,42,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/L100FrameDecoder.java,org.traccar.protocol.L100FrameDecoder,class,5,7,2,5,14,2,0,12,3,0.0,NaN,NaN,3,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52,9,0,2,0,0,1,13,9,3,6,3,0,0,0,22,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/ArnaviProtocol.java,org.traccar.protocol.ArnaviProtocol$Anonymous1,anonymous,4,4,0,4,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/IotmProtocol.java,org.traccar.protocol.IotmProtocol,class,4,4,0,4,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/TeltonikaProtocolEncoder.java,org.traccar.protocol.TeltonikaProtocolEncoder,class,7,10,3,7,5,2,0,14,3,0.0,0.0,0.0,3,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,32,4,0,0,0,1,2,7,2,3,2,2,0,0,0,18,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/TrakMateProtocolDecoder.java,org.traccar.protocol.TrakMateProtocolDecoder,class,8,9,1,8,23,2,0,32,9,0.6666667,0.0,0.0,6,0,1,4,1,0,2,0,0,0,3,3,0,3,0,0,3,0,0,111,17,0,3,0,0,49,13,15,3,15,1,0,0,0,42,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/api/CorsResponseFilter.java,org.traccar.api.CorsResponseFilter,class,6,6,0,6,10,1,0,8,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,3,0,4,0,0,4,0,0,29,0,0,2,0,0,3,0,5,0,5,2,0,0,0,29,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/XirgoProtocolDecoder.java,org.traccar.protocol.XirgoProtocolDecoder,class,12,13,1,12,68,2,0,53,7,0.67857146,0.5,0.5,7,0,2,3,2,0,4,0,0,0,4,2,0,4,0,0,2,0,21,249,8,1,7,0,0,88,53,24,7,19,3,0,0,0,66,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/FreematicsProtocol.java,org.traccar.protocol.FreematicsProtocol$Anonymous1,anonymous,5,5,0,5,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/AtrackProtocolDecoder.java,org.traccar.protocol.AtrackProtocolDecoder,class,14,15,1,14,231,2,0,114,76,0.8402778,0.2,0.4,16,1,4,10,2,0,6,0,0,0,9,3,0,9,0,0,4,0,52,782,17,7,29,1,1,201,149,72,76,60,5,0,0,0,122,1,0
