class,bugs_5.4
org.traccar.protobuf.starlink.StarLinkMessage$mEventConfig,6
org.traccar.protobuf.starlink.StarLinkMessage$mEventConfig$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mEventReport,6
org.traccar.protobuf.starlink.StarLinkMessage$mEventReport$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mEventReport_TDx,5
org.traccar.protobuf.starlink.StarLinkMessage$mEventReport_TDx$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mGenDeviceFW,6
org.traccar.protobuf.starlink.StarLinkMessage$mGenDeviceFW$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mGenDeviceMsg,6
org.traccar.protobuf.starlink.StarLinkMessage$mGenDeviceMsg$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mGeoZone,6
org.traccar.protobuf.starlink.StarLinkMessage$mGeoZone$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mGetPattern,6
org.traccar.protobuf.starlink.StarLinkMessage$mGetPattern$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mInputConfig,6
org.traccar.protobuf.starlink.StarLinkMessage$mInputConfig$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mInputs,6
org.traccar.protobuf.starlink.StarLinkMessage$mInputs$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mLatLong,6
org.traccar.protobuf.starlink.StarLinkMessage$mLatLong$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mMessage,6
org.traccar.protobuf.starlink.StarLinkMessage$mMessage$Builder,46
org.traccar.protobuf.starlink.StarLinkMessage$mMultiParam,8
org.traccar.protobuf.starlink.StarLinkMessage$mMultiParam$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mOutputs,6
org.traccar.protobuf.starlink.StarLinkMessage$mOutputs$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mParamResponse,6
org.traccar.protobuf.starlink.StarLinkMessage$mParamResponse$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mReadIButton,6
org.traccar.protobuf.starlink.StarLinkMessage$mReadIButton$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mSpeedLimit,6
org.traccar.protobuf.starlink.StarLinkMessage$mSpeedLimit$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mTeachRemote,6
org.traccar.protobuf.starlink.StarLinkMessage$mTeachRemote$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mTempConfig,7
org.traccar.protobuf.starlink.StarLinkMessage$mTempConfig$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mUnitIDChanged,6
org.traccar.protobuf.starlink.StarLinkMessage$mUnitIDChanged$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mWakeUp,6
org.traccar.protobuf.starlink.StarLinkMessage$mWakeUp$Builder,2
org.traccar.protocol.EasyTrackProtocolDecoder,2
org.traccar.protocol.GlobalstarProtocolDecoder,2
org.traccar.protocol.Gps056ProtocolDecoder,1
org.traccar.protocol.MoovboxProtocolDecoder,1
org.traccar.protocol.NavtelecomProtocolDecoder,1
org.traccar.protocol.OrbcommProtocolPoller,1
org.traccar.protocol.PricolProtocolDecoder,1
org.traccar.protocol.R12wProtocolDecoder,1
org.traccar.protocol.RaceDynamicsProtocolDecoder,1
org.traccar.protocol.RstProtocolDecoder,1
org.traccar.protocol.SpotProtocolDecoder,1
org.traccar.protocol.StarcomProtocolDecoder,1
org.traccar.protocol.SuntechProtocolDecoder,1
org.traccar.protocol.TaipPrefixEncoder,1
org.traccar.protocol.TotemProtocolEncoder,1
org.traccar.protocol.TrvProtocolDecoder,1
org.traccar.protocol.WristbandProtocolDecoder,1
org.traccar.protocol.Xrb28ProtocolEncoder,1
org.traccar.reports.CsvExportProvider,2
org.traccar.reports.EventsReportProvider,2
org.traccar.reports.GpxExportProvider,2
org.traccar.reports.KmlExportProvider,2
org.traccar.reports.RouteReportProvider,2
org.traccar.reports.StopsReportProvider,2
